date,exists,filename,version,revision,n_lpw_l2_files,status
2015-06-20,yes,mvn_lpw_l2_mrgscpot_20150620_v02_r02.cdf,2,2,10,ok
2015-06-21,yes,mvn_lpw_l2_mrgscpot_20150621_v02_r02.cdf,2,2,10,ok
2015-06-22,yes,mvn_lpw_l2_mrgscpot_20150622_v02_r02.cdf,2,2,10,ok
2015-06-23,yes,mvn_lpw_l2_mrgscpot_20150623_v02_r02.cdf,2,2,10,ok
2015-06-24,yes,mvn_lpw_l2_mrgscpot_20150624_v02_r02.cdf,2,2,7,ok
2015-06-25,yes,mvn_lpw_l2_mrgscpot_20150625_v02_r02.cdf,2,2,7,ok
2015-06-26,yes,mvn_lpw_l2_mrgscpot_20150626_v02_r02.cdf,2,2,7,ok
2015-06-27,yes,mvn_lpw_l2_mrgscpot_20150627_v02_r02.cdf,2,2,7,ok
2015-06-28,yes,mvn_lpw_l2_mrgscpot_20150628_v02_r02.cdf,2,2,7,ok
2015-06-29,yes,mvn_lpw_l2_mrgscpot_20150629_v02_r02.cdf,2,2,7,ok
2015-06-30,no,,,,0,no_mrgscpot
2015-07-01,yes,mvn_lpw_l2_mrgscpot_20150701_v02_r02.cdf,2,2,10,ok
2015-07-02,yes,mvn_lpw_l2_mrgscpot_20150702_v02_r02.cdf,2,2,10,ok
2015-07-03,yes,mvn_lpw_l2_mrgscpot_20150703_v02_r02.cdf,2,2,10,ok
2015-07-04,yes,mvn_lpw_l2_mrgscpot_20150704_v02_r02.cdf,2,2,10,ok
2015-07-05,yes,mvn_lpw_l2_mrgscpot_20150705_v02_r02.cdf,2,2,10,ok
2015-07-06,yes,mvn_lpw_l2_mrgscpot_20150706_v02_r02.cdf,2,2,10,ok
2015-07-07,yes,mvn_lpw_l2_mrgscpot_20150707_v02_r02.cdf,2,2,10,ok
2015-07-08,yes,mvn_lpw_l2_mrgscpot_20150708_v02_r02.cdf,2,2,10,ok
2015-07-09,yes,mvn_lpw_l2_mrgscpot_20150709_v02_r02.cdf,2,2,10,ok
2015-07-10,yes,mvn_lpw_l2_mrgscpot_20150710_v02_r02.cdf,2,2,10,ok
